FECHA,HORA,MINUTOS,N  ABEJAS/ VISITA,N POLINIZADORES / VISITA,TEMPERATURA,ESPECIE
4/11/2020,9,6,1,0,29,ABEJA
4/11/2020,9,54,1,0,33,ABEJA
4/11/2020,9,54,0,0,33,ABEJA
4/11/2020,9,55,1,0,33,ABEJA
4/11/2020,10,55,1,0,37,ABEJA
4/11/2020,10,56,1,0,37,ABEJA
4/11/2020,13,23,0,1,40,MOSCARDON
4/11/2020,14,23,1,0,43,ABEJA
4/11/2020,14,24,1,0,43,ABEJA
4/11/2020,14,36,1,0,43,ABEJA
4/11/2020,17,10,1,0,45,ABEJA
4/11/2020,18,13,1,0,44,ABEJA
5/11/2020,17,14,1,0,38,ABEJA
5/11/2020,17,15,1,0,38,ABEJA
6/11/2020,10,18,1,0,34,ABEJA
6/11/2020,10,18,1,0,34,ABEJA
6/11/2020,10,19,1,0,34,ABEJA
6/11/2020,10,19,1,0,34,ABEJA
6/11/2020,10,20,1,0,34,ABEJA
6/11/2020,10,27,1,0,35,ABEJA
6/11/2020,10,27,1,0,35,ABEJA
6/11/2020,10,28,1,0,35,ABEJA
6/11/2020,10,28,1,0,35,ABEJA
6/11/2020,10,29,1,1,35,AVISPA
6/11/2020,10,29,0,1,35,AVISPA
6/11/2020,10,31,0,1,35,AVISPA
6/11/2020,11,21,1,0,39,ABEJA
6/11/2020,11,21,1,0,39,ABEJA
6/11/2020,11,28,1,0,39,ABEJA
6/11/2020,11,35,1,0,39,ABEJA
6/11/2020,11,51,1,0,40,ABEJA
6/11/2020,11,52,1,0,40,ABEJA
6/11/2020,12,49,1,0,40,ABEJA
6/11/2020,11,51,1,0,40,ABEJA
6/11/2020,11,51,1,0,40,ABEJA
6/11/2020,13,26,0,1,40,MOSCARDON
6/11/2020,14,53,1,0,41,ABEJA
6/11/2020,15,26,1,0,41,ABEJA
6/11/2020,16,13,1,0,42,ABEJA
6/11/2020,16,14,1,0,42,ABEJA
6/11/2020,17,46,1,0,40,ABEJA
6/11/2020,17,47,1,0,40,ABEJA
7/11/2020,9,56,0,1,30,MOSCA
7/11/2020,9,57,0,1,30,MOSCA
7/11/2020,9,57,0,1,30,MOSCA
7/11/2020,9,58,0,1,30,MOSCA
7/11/2020,9,58,0,1,30,MOSCA
7/11/2020,9,59,0,1,30,MOSCA
7/11/2020,11,14,1,0,34,ABEJA
7/11/2020,15,50,0,1,42,MOSCARDON
7/11/2020,17,56,1,0,41,ABEJA
7/11/2020,17,57,1,0,41,ABEJA
8/11/2020,7,43,0,1,24,TYSANOPTERA
8/11/2020,7,43,0,1,24,TYSANOPTERA
8/11/2020,7,44,0,1,24,TYSANOPTERA
8/11/2020,7,44,0,1,24,TYSANOPTERA
8/11/2020,7,45,0,1,24,TYSANOPTERA
8/11/2020,8,19,1,0,24,ABEJA
8/11/2020,8,20,1,0,24,ABEJA
8/11/2020,8,20,1,0,24,ABEJA
8/11/2020,8,21,1,0,24,ABEJA
8/11/2020,8,29,0,1,24,MOSQUITO
8/11/2020,11,8,1,0,36,ABEJA
8/11/2020,11,8,1,0,36,ABEJA
8/11/2020,11,9,1,0,36,ABEJA
8/11/2020,11,33,1,0,39,ABEJA
8/11/2020,11,34,1,0,39,ABEJA
8/11/2020,11,34,1,0,39,ABEJA
8/11/2020,12,16,1,0,41,ABEJA
8/11/2020,12,17,1,0,41,ABEJA
8/11/2020,12,17,1,0,41,ABEJA
8/11/2020,12,18,1,0,41,ABEJA
8/11/2020,12,18,1,0,41,ABEJA
8/11/2020,12,19,1,0,41,ABEJA
8/11/2020,12,46,1,0,41,ABEJA
8/11/2020,14,30,1,0,44,ABEJA
8/11/2020,14,31,1,0,44,ABEJA
8/11/2020,14,36,0,1,44,MOSCARDON
8/11/2020,18,49,1,0,34,ABEJA
8/11/2020,19,0,1,0,34,ABEJA
8/11/2020,19,1,1,0,34,ABEJA
9/11/2020,8,23,1,0,26,ABEJA
9/11/2020,10,58,0,1,34,MOSCARDON
9/11/2020,11,9,0,1,34,COCCINELIDO (V DE SAN ANTONIO)
9/11/2020,11,9,0,1,34,COCCINELIDO (V DE SAN ANTONIO)
9/11/2020,11,10,0,1,34,COCCINELIDO (V DE SAN ANTONIO)
9/11/2020,11,10,0,1,34,COCCINELIDO (V DE SAN ANTONIO)
9/11/2020,11,15,1,0,34,ABEJA
9/11/2020,12,28,1,0,36,ABEJA
9/11/2020,12,28,1,0,36,ABEJA
9/11/2020,13,26,1,0,38,ABEJA
9/11/2020,13,35,1,0,38,ABEJA
9/11/2020,13,37,1,0,38,ABEJA
9/11/2020,13,39,1,0,38,ABEJA
9/11/2020,13,40,1,0,38,ABEJA
9/11/2020,13,40,1,0,38,ABEJA
9/11/2020,13,41,1,0,38,ABEJA
9/11/2020,15,32,1,0,43,ABEJA
9/11/2020,15,33,1,0,43,ABEJA
